Customer_id,Recency,Frequency,Monetary
4,1,392,20285.24
11,560,6,40.03
13,595,192,5220.82
20,3,420,36523.91
32,12,626,40300.07
33,40,1336,84331.23
35,631,1863,17351.28
36,481,321,9433.17
38,680,11,1472.01
39,788,2,427.14
40,759,4,91.62
41,788,1,6.99
42,474,319,9999.37
43,438,988,3744.16
44,84,653,9684.37
46,753,2,37.26
47,273,111,5485.82
53,776,36,194.67000000000002
56,55,1016,29064.85
58,92,1151,16868.0
59,390,736,11350.3
60,788,8,10.98
61,614,32,2342.01
62,328,1,14.31
63,490,33,210.93
64,115,755,39161.93
66,433,423,32749.52
69,788,1,1.22
71,476,4,35.7
75,261,6,48.78
77,578,3,264.24
79,282,485,24538.86
80,788,2,10.17
82,480,28,241.6
85,327,72,1934.1200000000001
86,566,291,8283.98
93,284,12,201.24
94,491,38,2616.71
95,788,2,5.56
98,135,50,8335.91
101,701,62,6716.22
102,283,10,136.22
106,567,72,3570.97
114,66,810,35525.81
120,680,5,631.27
123,480,108,567.11
126,230,103,31867.7
130,752,7,111.74
132,245,23,593.58
137,470,795,27237.68
143,557,31,142.16
144,280,23,516.92
148,579,157,16167.63
151,596,19,39.04
160,774,2,81.67
163,16,2319,65508.71
169,788,1,0.87
172,500,15,96.2
180,106,7,759.4399999999999
184,628,5,13.0
187,500,1,167.37
191,403,4,2260.72
210,275,25,818.59
211,774,2,3.3
213,558,10,52.8
215,787,1,174.62
217,581,14,49.34
220,370,250,15380.34
222,665,5,19.1
223,645,4,32.21
225,209,306,53561.28
228,465,56,450.15
230,16,578,22657.06
231,787,1,181.45
236,278,16,37562.12
237,733,10,2599.8199999999997
241,776,6,27.34
250,755,2,10.190000000000001
251,176,2,1223.1
253,662,1,3.43
256,1,19,290.39
259,742,6,10.43
261,243,72,490.68
262,275,250,10408.26
265,262,51,1765.5
266,787,1,5.44
267,464,15,106.35
272,787,1,225.83
276,787,1,82.52
278,787,1,121.6
282,190,139,6388.42
292,11,193,13717.76
293,616,18,45.29
324,786,1,32.57
326,786,1,6.94
327,639,7,17.7
331,685,3,18.08
334,638,1,9.13
341,763,21,54.199999999999996
346,49,38,307.56
348,641,2,2.23
349,603,2,11.02
351,786,1,2.6
373,698,1,5.76
390,261,9,73.98
391,771,1,6.95
395,149,448,1326.85
396,785,4,319.44
408,631,4,230.10999999999999
420,785,1,4.34
422,641,1,1.82
423,158,123,1242.4
425,694,6,308.5
433,429,8,66.11
446,641,3,14.649999999999999
448,433,124,437.96000000000004
451,278,9,74.47
456,726,2,8.68
458,473,26,8945.12
459,14,350,33237.87
468,524,110,833.82
469,785,1,4.53
471,785,1,4.53
478,628,12,26.990000000000002
479,25,86,4469.8
485,785,1,2.22
496,784,7,11.42
500,641,2,73.02
514,619,2,0.56
516,784,1,2.78
533,284,46,1775.74
537,291,10,370.92
544,784,1,63.96
550,628,1,10.57
553,279,13,852.37
