Customer_id,Customer since,Item_id,Increment_id,Sales_commission_code,Qty_ordered,Price,Discount_amount,Net_income,Payment_method,Created_at,Year,Month,Category,Bi_status,Status,Regroupement_status,Regroupement_payment_method,Taux_change,Discount_amount_euros,Net_income_euros,Price_euros
4,2016-07,211135,100147446,R-FSD-52352,1,360.0,300.0,60.0,cod,2016-07-01,2016,7,Beauty & Grooming,Net,complete,finalisé,cod,0.008686,2.61,0.52,3.13
11,2016-07,211145,100147455,105259,1,120.0,0.0,120.0,ublcreditcard,2016-07-01,2016,7,Home & Living,Net,complete,finalisé,paiement immédiat,0.008686,0.0,1.04,1.04
11,2016-07,211147,100147457,105259,1,1550.0,0.0,1550.0,ublcreditcard,2016-07-01,2016,7,Men's Fashion,Gross,canceled,annulé,paiement immédiat,0.008686,0.0,13.46,13.46
13,2016-07,211149,100147458,R-KHW-104406,1,420.0,0.0,1270.0,cod,2016-07-01,2016,7,Soghaat,Net,complete,finalisé,cod,0.008686,0.0,11.03,3.65
13,2016-07,211150,100147458,R-KHW-104406,1,360.0,0.0,1270.0,cod,2016-07-01,2016,7,Soghaat,Net,complete,finalisé,cod,0.008686,0.0,11.03,3.13
13,2016-07,211151,100147458,R-KHW-104406,1,490.0,0.0,1270.0,cod,2016-07-01,2016,7,Beauty & Grooming,Net,complete,finalisé,cod,0.008686,0.0,11.03,4.26
20,2016-07,211168,100147466,R-FSD-58130,1,20999.0,0.0,20999.0,cod,2016-07-01,2016,7,Mobiles & Tablets,Net,complete,finalisé,cod,0.008686,0.0,182.4,182.4
20,2016-07,211169,100147467,R-FSD-58130,1,360.0,0.0,360.0,cod,2016-07-01,2016,7,Beauty & Grooming,Net,complete,finalisé,cod,0.008686,0.0,3.13,3.13
32,2016-07,211196,100147481,C-PEW-104656,1,251.0,0.0,251.0,cod,2016-07-01,2016,7,Home & Living,Net,complete,finalisé,cod,0.008686,0.0,2.18,2.18
33,2016-07,211197,100147482,C-Rwp-101853,1,360.0,0.0,360.0,cod,2016-07-01,2016,7,Beauty & Grooming,Valid,order_refunded,annulé,cod,0.008686,0.0,3.13,3.13
35,2016-07,211200,100147484,C-ISB-47491,1,300.0,0.0,300.0,cod,2016-07-01,2016,7,Beauty & Grooming,Net,complete,finalisé,cod,0.008686,0.0,2.61,2.61
36,2016-07,211202,100147486,c-uet-44938,1,30417.0,0.0,30417.0,cod,2016-07-01,2016,7,Entertainment,Valid,order_refunded,annulé,cod,0.008686,0.0,264.2,264.2
33,2016-07,211201,100147485,C-RWP-103867,1,360.0,0.0,360.0,cod,2016-07-01,2016,7,Beauty & Grooming,Valid,order_refunded,annulé,cod,0.008686,0.0,3.13,3.13
38,2016-07,211204,100147488,R-KHS-104405,1,45250.0,0.0,45250.0,cod,2016-07-01,2016,7,Appliances,Net,complete,finalisé,cod,0.008686,0.0,393.04,393.04
39,2016-07,211205,100147489,104835,3,8100.0,0.0,24588.0,cod,2016-07-01,2016,7,Beauty & Grooming,Gross,canceled,annulé,cod,0.008686,0.0,213.57,70.36
39,2016-07,211206,100147489,104835,2,144.0,0.0,24588.0,cod,2016-07-01,2016,7,Home & Living,Gross,canceled,annulé,cod,0.008686,0.0,213.57,1.25
40,2016-07,211207,100147490,R-KHS-104405,1,5597.0,0.0,5597.0,cod,2016-07-01,2016,7,Women's Fashion,Net,complete,finalisé,cod,0.008686,0.0,48.62,48.62
35,2016-07,211208,100147491,C-ISB-105964,1,999.0,0.0,999.0,cod,2016-07-01,2016,7,Men's Fashion,Valid,order_refunded,annulé,cod,0.008686,0.0,8.68,8.68
